,service_request_id,requested_datetime,service_name,agency_responsible,council_district,status_description,lat,long
200,5077829,2018-07-02 10:27:00,GARBAGE MISSED,SWMS,4.0,CLOSED,38.234319388,-85.7465946111
201,5080962,2018-07-02 10:29:00,STOLEN GARB CART,SWMS,25.0,OPEN,38.143674558,-85.7790184888
202,5080964,2018-07-02 10:29:00,OVERGROWTH,LPM,8.0,CLOSED,38.2261075579,-85.6847244356
203,5080967,2018-07-02 10:29:00,EXTERIOR VIOL,IPL,6.0,CLOSED,38.2099586621,-85.76831405729999
204,5080961,2018-07-02 10:29:14,EXTERIOR VIOL,IPL,15.0,CLOSED,38.1789395173,-85.8123125162
205,5080965,2018-07-02 10:30:00,VEHICLE PVT PROP,IPL,11.0,CLOSED,38.189109713899995,-85.6037019843
206,5080970,2018-07-02 10:30:00,VEHICLE PVT PROP,IPL,11.0,CLOSED,38.1883963724,-85.6022202933
207,5080966,2018-07-02 10:30:33,VAP STRUC WEEDS,IPL,5.0,CLOSED,38.257141818600005,-85.8236917904
208,5080973,2018-07-02 10:32:43,TRASH PVT PROP,IPL,4.0,CLOSED,38.2575979644,-85.7886306137
209,5080975,2018-07-02 10:33:00,OVERGROWTH,LPM,7.0,CLOSED,38.2813497429,-85.63472414430001
210,5080974,2018-07-02 10:33:30,STREET CLEANING,SWMS,5.0,CLOSED,38.257141818600005,-85.8236917904
211,5080977,2018-07-02 10:34:00,SIDEWALK OBSTRUC,IPL,6.0,CLOSED,38.234593626300004,-85.7534666366
212,5080978,2018-07-02 10:34:57,MISCELLANEOUS,MAYOR'S OFFICE,8.0,CLOSED,38.2432344004,-85.69466870000001
213,5080979,2018-07-02 10:36:00,HIGH GRASS WEEDS,IPL,18.0,CLOSED,38.251708689299996,-85.5720934666
214,5080980,2018-07-02 10:36:00,OVERGROWTH,LPM,20.0,OPEN,38.2187771284,-85.5260107001
215,5080986,2018-07-02 10:36:00,HIGH GRASS WEEDS,IPL,20.0,CLOSED,38.2187771284,-85.5260107001
